order,card,box,repeat,question,kind,answers,condition,on_list,columns,when,note
1,G1,Architecture class,×1,Architecture class,Dimension,TW · TR · DS · CVT · PTC · TB · SLC · SRW · RC · MR · HB · PFV,,yes,topType,,
2,G1,Architecture class,×1,Override,Escape,,,yes,g1_quickOverride,,"escape, not a class: the aircraft carries no type"
3,G1,Beside the class,×1,humanUncertain,Escape,,,yes,g1_humanUncertain,,
4,G1,Beside the class,×1,notPureArch,Tick,,,yes,notPureArch,,mixed architecture
5,G1,Beside the class,×1,Edge tags,Tag,UAVSimilar · ElectricSimilar,,yes,edgeTags,,the domain gate reads these; not a design question
6,M1,Fuselage,×1,Shape,Dimension,Circular · Oval · Rectangular · Blended / Lifting Body · Other,,yes,fusShape,,
7,M1,Fuselage,×1,Kinematics,Dimension,Fixed · Variable Incidence · Whole-Body Pitch · Tail-sitter,,yes,fusKin,,
8,M1,Fuselage,×1,Ground contact,Dimension,Skids · Wheeled Gear · Pads / Hull · Unknown,,yes,gearArch,,
9,M1,Fuselage,×1,Lateral symmetry,Dimension,Yes · No,,yes,latSym,,two answers: set kind to Tick to count it as a tick
10,M1,Fuselage,×1,Booms present,Dimension,Yes · No,,yes,boomsPresent,,two answers: set kind to Tick to count it as a tick
11,M1,Boom group,×0..n,Count,Number,,,yes,boom[1-9]_count,,
12,M1,Boom group,×0..n,Symmetric,Tick,,,yes,boom[1-9]_sym,,
13,M1,Boom group,×0..n,Circular / Radial,Tick,,,yes,boom[1-9]_circSym,,
14,M1,Boom group,×0..n,Attachment,Dimension,Wings · Fuselage · Both · Empennage · Other,,yes,boom[1-9]_attach,,
15,M1,Boom group,×0..n,Wing panel index,Dimension,1 · 2 · 3 · 4 · More than one,if wing,yes,boom[1-9]_wingIdx,,
16,M1,Boom group,×0..n,Spanwise position,Dimension,Inboard · Mid-span · Outboard · Spanning · N/A · Other,if wing,yes,boom[1-9]_span,,
17,M1,Boom group,×0..n,Longitudinal position,Dimension,Fore · Mid · Aft · Full length · N/A · Other,if not wing,yes,boom[1-9]_long,,
18,M1,Boom group,×0..n,Orientation,Dimension,Longitudinal · Lateral · Vertical · X / Diagonal · Other,,yes,boom[1-9]_orient,,
19,M1,Boom group,×0..n,Wing relationship,Dimension,Forward · Aft · Straddles · Bridge · N/A · Other,,yes,boom[1-9]_wingRel,,
