oem,company_canonical,note
Ehang,,not in the patent corpus
Volocopter,Volocopter,
Volant Aerotech,Wollant Aviation,transliteration of 沃兰特 — check
Joby Aviation,Joby Aviation,
Beta Technologies,Beta Technologies,
AutoFlight,AutoFlight,
Archer,Archer Aviation,
Eve Air Mobility,Embraer / Eve,
Wisk (Boeing),Wisk Aero,
Aerofugia,Wofei / Geely Aviation,Aerofugia = 沃飞长空 (Geely)
Robinson,,
SkyDrive,,
Vertical Aerospace,Vertical Aerospace,
TCab Tech,,
ZEROG,,
Electra,,
Ascendance,Ascendance Flight Technologies,
REGENT,,
Heart Aerospace,,
Honda Motor Company,Honda,
Vertaxi,,
ERC System,,
Vaeridion,,
Supernal,Supernal,Hyundai files separately in the corpus
Airbus,Airbus,history only
Bell,Bell / Textron,history only
Pipistrel,Pipistrel,history only
Pipistrel (Textron),Pipistrel,history only
Lilium,Lilium,history only
Overair,Overair,history only
Kittyhawk,Kitty Hawk,history only
Wisk,Wisk Aero,history name
Ascendance Flight Technologies,Ascendance Flight Technologies,history name
Sabrewing Aircraft Company,,
Elroy Air,,
Dufour Aerospace,,
Jaunt Air Mobility,,
Airflow,,
Eviation,,
eAviation,,
Volkswagen,,
Alaka'i Technologies,,
Wanfeng Diamond,,
