oem,December 2020,February 2021,May 2021,June 2021,July 2021,August 2021,October 2021,December 2021,February 2022,March 2022,April 2022,June 2022,August 2022,October 2022,December 2022,February 2023,April 2023,June 2023,August 2023,November 2023,December 2023,March 2024,April 2024,June 2024,August 2024,October 2024,December 2024,February 2025,April 2025,June 2025,October 2025,December 2025,February 2026,May 2026
EHANG,7.9,7.9,7.4,7.4,7.4,7.4,7.4,7.2,7.4,7.4,7.4,7.4,7.4,7.4,8.1,8.1,8.1,8.1,8.1,8.0,8.0,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.45
JOBY AVIATION,7.9,7.9,7.9,7.9,7.9,8.4,8.4,8.4,8.4,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.0,8.0,8.0,7.9,7.9,7.9,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.0,8.00
BETA TECHNOLOGIES,7.5,7.5,7.5,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,8.0,8.0,8.0,8.0,8.0,8.1,8.1,8.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.95
EVE AIR MOBILITY,7.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.7,7.7,7.7,7.7,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.6,7.6,7.6,7.6,7.6,7.8,7.8,7.80
SABREWING AIRCRAFT COMPANY,7.4,5.9,5.9,5.9,5.9,5.1,5.1,5.1,5.1,5.1,5.1,5.1,,,,,,,,,,,,,,,,,,,,,,
WISK,7.0,7.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,,,
SUPERNAL,7.0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,5.5,5.5,4.4,4.40
VOLOCOPTER,6.2,6.2,6.2,7.3,7.3,7.3,7.3,7.3,7.7,8.4,8.4,8.4,8.4,8.4,8.0,8.6,8.6,8.6,8.6,8.3,8.3,8.0,8.4,8.6,8.6,8.6,7.9,7.9,8.1,8.1,7.9,8.2,8.1,8.10
AIRBUS,5.8,5.8,5.8,5.8,4.5,4.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.5,7.2,7.4,7.4,7.4,7.6,,,,,,,
BELL,5.8,5.0,5.0,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,
PIPISTREL,5.8,5.5,5.5,5.5,5.5,7.2,7.2,7.2,7.2,7.2,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,
VERTICAL AEROSPACE,5.7,5.9,5.9,5.9,5.9,6.2,6.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,6.8,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.20
ELROY AIR,5.7,5.4,5.4,5.4,5.4,5.7,5.7,5.7,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,6.8,6.8,6.8,,,,,,,,,,,,
LILIUM,5.5,5.5,6.2,6.2,6.2,6.5,7.8,7.8,7.7,7.7,7.7,7.7,7.7,7.8,7.8,6.8,6.8,6.8,6.8,6.7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,
ARCHER,,7.2,6.9,6.9,7.2,5.9,7.2,7.2,7.4,7.4,7.4,7.4,7.4,7.4,7.8,8.1,8.1,8.1,8.1,7.9,7.9,7.9,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.8,7.8,7.8,7.8,7.80
DUFOUR AEROSPACE,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.4,5.4,5.4,5.4,,,,
OVERAIR,,,,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,,,,,,,,
JAUNT AIR MOBILITY,,,,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,
ELECTRA,,,,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.3,5.4,5.4,5.4,5.6,5.6,5.9,5.9,5.9,6.6,6.6,6.55
AIRFLOW,,,,,4.4,4.4,4.4,4.4,4.4,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,
HONDA MOTOR COMPANY,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.75
KITTYHAWK,,,,,,,,7.3,7.3,7.3,7.3,7.3,7.3,,,,,,,,,,,,,,,,,,,,,
REGENT,,,,,,,,5.1,5.1,5.9,5.9,5.9,5.9,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.05
ASCENDANCE FLIGHT TECHNOLOGIES,,,,,,,,4.7,4.7,4.7,4.7,4.7,5.4,5.4,5.4,5.4,5.9,5.9,6.2,6.2,6.2,,,,,,,,,,,,,
AUTOFLIGHT,,,,,,,,,,,5.8,5.8,5.8,5.8,5.8,6.1,7.2,7.2,7.2,6.9,6.9,6.9,6.8,6.8,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.9,7.9,7.85
EVIATION,,,,,,,,,,,,5.9,5.9,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,,,,,,,
eAVIATION,,,,,,,,,,,,,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.4,,,
VOLKSWAGEN,,,,,,,,,,,,,3.4,3.4,3.4,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,,,,,,,,
PIPISTREL (TEXTRON),,,,,,,,,,,,,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.0,7.0,7.0,,,,,,,,,,,,
SKYDRIVE,,,,,,,,,,,,,,5.9,5.9,5.9,5.9,5.9,5.9,6.4,6.4,6.7,6.7,6.7,6.7,6.7,6.7,7.1,7.0,7.0,7.0,7.0,7.0,7.35
HEART AEROSPACE,,,,,,,,,,,,,,4.4,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.90
ALAKA'I TECHNOLOGIES,,,,,,,,,,,,,,,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,,,,,,,,
AEROFUGIA,,,,,,,,,,,,,,,,,6.4,6.7,7.1,6.8,6.8,7.1,7.1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.5,7.50
WISK (BOEING),,,,,,,,,,,,,,,,,,7.5,7.8,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.6,7.55
ASCENDANCE,,,,,,,,,,,,,,,,,,,,,,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.20
TCAB TECH,,,,,,,,,,,,,,,,,,,,,,,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.7,7.00
VOLANT AEROTECH,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.5,6.5,6.5,6.5,6.5,7.2,7.2,8.0,8.0,8.05
ZEROG,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.80
WANFENG DIAMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.4,,,,,,
ROBINSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.45
VERTAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,5.5,5.5,5.45
VAERIDION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,5.3,5.3,5.3,5.25
