year,cpc_world,ipc_world,cpc_offices,ipc_offices,all_offices,cpcB_offices
1999,3030,3503,2301,2488,699200,127031
2000,3517,4248,2754,3013,804576,138400
2001,3510,4492,2768,3217,845408,137139
2002,3960,4720,2904,3315,835605,137169
2003,4026,4740,3096,3540,877807,139783
2004,3764,4533,2737,3115,834291,124654
2005,3856,4507,2489,2823,795462,113718
2006,3777,4617,2388,2862,762453,107985
2007,4517,5298,2811,3296,715805,106082
2008,4727,4966,2997,3329,675450,105767
2009,5056,5051,3520,3590,667813,117362
2010,5645,5304,4111,3854,711234,141309
2011,6437,5848,4641,4227,744987,151788
2012,7789,6931,5324,4771,770212,161200
2013,9002,7660,6400,5539,801919,174335
2014,9422,7966,6933,5822,797264,180473
2015,11257,9237,8353,6903,828540,194907
2016,12693,10343,9481,7787,861426,212683
2017,13401,10705,10103,8138,894757,222992
2018,13344,10781,10379,8428,920597,219821
2019,12526,10261,9871,8132,936760,217719
2020,10684,8896,8644,7087,934800,203738
2021,10436,8829,8735,7243,930601,200275
2022,9559,8128,8297,6888,884200,189043
2023,8533,7831,7655,6689,820862,167356
2024,5971,5562,5505,5020,604568,120320
2025,932,1013,894,961,134887,19065
2026,26,42,17,31,5054,410
