y,world,CN,exCN,b64,B,CNshare%,b64_per10k,B_share%
2000,760142,23079,737063,1447,93016,3.0,19.04,12.2
2001,764547,27745,736802,1572,90929,3.6,20.56,11.9
2002,767106,38704,728402,1662,96764,5.0,21.67,12.6
2003,792183,53244,738939,1592,105583,6.7,20.1,13.3
2004,820495,63504,756991,1825,111961,7.7,22.24,13.6
2005,856508,85706,770802,1759,114950,10.0,20.54,13.4
2006,871630,109273,762357,1898,114439,12.5,21.78,13.1
2007,889955,133112,756843,2117,112492,15.0,23.79,12.6
2008,915911,165770,750141,2230,112666,18.1,24.35,12.3
2009,901139,201926,699213,2493,113365,22.4,27.66,12.6
2010,965866,254577,711289,2644,121975,26.4,27.37,12.6
2011,1066564,339742,726822,2981,129366,31.9,27.95,12.1
2012,1199672,456492,743180,3424,139862,38.1,28.54,11.7
2013,1343769,591846,751923,4253,168995,44.0,31.65,12.6
2014,1408661,679503,729158,5045,191620,48.2,35.81,13.6
2015,1559853,827724,732129,7444,241628,53.1,47.72,15.5
2016,1762546,1032790,729756,12341,383752,58.6,70.02,21.8
2017,1969320,1239254,730066,13770,435605,62.9,69.92,22.1
2018,2102300,1371928,730372,15776,506023,65.3,75.04,24.1
2019,1954525,1226985,727540,14287,434714,62.8,73.1,22.2
2020,2130945,1419718,711227,15520,538205,66.6,72.83,25.3
2021,2123078,1449194,673884,14812,492161,68.3,69.77,23.2
2022,2151253,1517232,634021,13313,439044,70.5,61.88,20.4
2023,2242101,1608946,633155,14623,474995,71.8,65.22,21.2
