priority_year,dead,granted,pending,n,pending_pct,age_years
1998,1,0,0,1,0.0,28
1999,5,0,0,5,0.0,27
2000,2,0,1,3,33.3,26
2001,5,0,0,5,0.0,25
2002,12,0,0,12,0.0,24
2003,11,0,0,11,0.0,23
2004,12,0,0,12,0.0,22
2005,14,5,0,19,0.0,21
2006,9,2,0,11,0.0,20
2007,9,7,0,16,0.0,19
2008,7,6,0,13,0.0,18
2009,11,10,0,21,0.0,17
2010,9,4,0,13,0.0,16
2011,13,16,0,29,0.0,15
2012,13,8,0,21,0.0,14
2013,21,22,0,43,0.0,13
2014,24,23,0,47,0.0,12
2015,23,35,3,61,4.9,11
2016,29,87,1,117,0.9,10
2017,56,86,2,144,1.4,9
2018,81,111,1,193,0.5,8
2019,40,104,6,150,4.0,7
2020,37,107,7,151,4.6,6
2021,28,98,14,140,10.0,5
2022,24,72,30,126,23.8,4
2023,8,42,65,115,56.5,3
2024,3,33,82,118,69.5,2
2025,4,10,25,39,64.1,1
2026,0,0,3,3,100.0,0
