patent_id,image_label,text_label,text_confidence,arch_final,provenance,review_comment,decided_at
CN106585976A,CVT,CVT,H,,pending,,
CN106882373A,CVT,CVT,H,,pending,,
CN109263932A,CVT,CVT,H,,pending,,
CN110040248A,CVT,CVT,H,,pending,,
CN112141347A,CVT,CVT,H,,pending,,
CN112896499A,CVT,CVT,H,,pending,,
CN114802742A,CVT,CVT,H,,pending,,
CN115303479A,CVT,CVT,M,,pending,,
CN116374167A,CVT,CVT,H,,pending,,
CN117341965A,CVT,CVT,H,,pending,,
CN119262283A,CVT,CVT,H,,pending,,
CN120922349A,CVT,CVT,H,,pending,,
CN121822815A,CVT,CVT,M,,pending,,
CN1907806A,CVT,CVT,H,,pending,,
DE102019001834A1,CVT,CVT,H,,pending,,
DE102019004808A1,CVT,CVT,H,,pending,,
DE102020007836A1,CVT,CVT,M,,pending,,
DE102024102439A1,CVT,CVT,H,,pending,,
EP3119674A2,CVT,CVT,M,,pending,,
EP3805100A1,CVT,CVT,H,,pending,,
EP4134301A1,CVT,CVT,H,,pending,,
EP4653315A1,CVT,CVT,H,,pending,,
KR102622742B1,CVT,CVT,H,,pending,,
UA152017U,CVT,CVT,M,,pending,,
US10450062B1,CVT,CVT,H,,pending,,
US11465737B1,CVT,CVT,H,,pending,,
US2009008510A1,CVT,CVT,M,,pending,,
US2012091257A1,CVT,CVT,H,,pending,,
US2016200436A1,CVT,CVT,H,,pending,,
US2016214710A1,CVT,CVT,H,,pending,,
US2016229531A1,CVT,CVT,M,,pending,,
US2018215465A1,CVT,CVT,H,,pending,,
US2018370625A1,CVT,CVT,H,,pending,,
US2019135413A1,CVT,CVT,M,,pending,,
US2019135426A1,CVT,CVT,M,,pending,,
US2019337614A1,CVT,CVT,H,,pending,,
US2020239134A1,CVT,CVT,H,,pending,,
US2020354050A1,CVT,CVT,M,,pending,,
US2021086893A1,CVT,CVT,M,,pending,,
US2021300527A1,CVT,CVT,M,,pending,,
US2021362849A1,CVT,CVT,H,CVT,known_aircraft,,
US2022324558A1,CVT,CVT,H,,pending,,
US2022380037A1,CVT,CVT,H,,pending,,
US2022402608A1,CVT,CVT,M,,pending,,
US2023234703A1,CVT,CVT,H,,pending,,
US2024124134A1,CVT,CVT,H,,pending,,
US2024270378A1,CVT,CVT,H,,pending,,
US2025304249A1,CVT,CVT,H,,pending,,
US8950698B1,CVT,CVT,M,,pending,,
WO2010024593A2,CVT,CVT,M,,pending,,
WO2015089679A1,CVT,CVT,H,,pending,,
WO2019062257A1,CVT,CVT,H,,pending,,
WO2019211875A1,CVT,CVT,H,,pending,,
WO2025106962A1,CVT,CVT,H,,pending,,
ITTO20130495A1,DS,DS,M,,pending,,
KR20260072583A,DS,DS,M,,pending,,
US2024002034A1,DS,DS,M,,pending,,
RU2725833C1,HB,HB,H,,pending,,
US2011163199A1,HB,HB,H,,pending,,
US2022363374A1,HB,HB,H,,pending,,
CN111846213A,MR,MR,H,,pending,,
CN111874224A,MR,MR,H,,pending,,
DE102019121788A1,MR,MR,M,,pending,,
EP3770063A1,MR,MR,M,,pending,,
GB202410204D0,MR,MR,M,,pending,,
US10526079B1,MR,MR,H,,pending,,
US2012119016A1,MR,MR,M,,pending,,
US2017183088A1,MR,MR,H,,pending,,
US2018265189A1,MR,MR,M,,pending,,
US2019389568A1,MR,MR,M,,pending,,
US2020079503A1,MR,MR,M,,pending,,
US2020369363A1,MR,MR,H,,pending,,
US2020398981A1,MR,MR,H,,pending,,
US2021101675A1,MR,MR,H,,pending,,
US2023033507A1,MR,MR,M,,pending,,
US2023056709A1,MR,MR,H,,pending,,
US2025136287A1,MR,MR,M,,pending,,
US11124286B1,PTC,PTC,M,,pending,,
US2022089279A1,PTC,PTC,H,,pending,,
CN108163193A,RC,RC,M,,pending,,
CN120863869A,RC,RC,H,,pending,,
DE10028631A1,RC,RC,M,,pending,,
US2009140095A1,RC,RC,H,,pending,,
